# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: yunwei37
# Property: transchinese.org
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250211
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/扶她/,835,332,2.5150602409638556,128.43072289156626,0,0,0
"/tag-R-18/TS性转穿越到奇妙异世界_tags_ntr,淫乱,女体化,乱交,痴女,婊子,轮奸,女性视角,TSF,肉便器_user_顽石_seriesId_page/",828,468,1.7692307692307692,105.57051282051282,94,0,0
/换身、附身、入替、融合/附身/,818,385,2.1246753246753247,22.114285714285714,0,0,0
/限制级/1679064-[Marneko] TS Tights (Nyotaika Naburi!!) [Chinese] [观星能治颈椎病个人渣翻]/,813,622,1.3070739549839228,42.62700964630225,1,0,0
/虐蛋/,809,319,2.5360501567398117,56.275862068965516,0,0,0
/社群及NGO文件/其他组织文件/,802,565,1.4194690265486725,18.727433628318582,0,0,0
/社群及NGO文件/生活与性体验/伪声/成为女孩子的声音/,801,548,1.4616788321167884,14.312043795620438,0,0,0
/医学图片与视频/未分类/,771,425,1.8141176470588236,15.60235294117647,0,0,0
/学术论文/,742,408,1.8186274509803921,19.600490196078432,0,0,0
/限制级/性转换药剂实验(1)_page/,729,548,1.3302919708029197,19.983576642335766,309,0,0
/番外篇/,714,569,1.2548330404217927,22.005272407732864,0,0,0
/未分类中短篇/紧缚世界1-140_page/,694,414,1.6763285024154588,125.3695652173913,92,0,0
/社群及NGO文件/生活与性体验/前列腺高潮/肛门扩张_–_最有效的指南和练习（一）_page/,692,502,1.3784860557768925,33.266932270916335,139,0,0
/社群及NGO文件/社群讨论/中国大陆/,674,440,1.5318181818181817,17.613636363636363,6,0,0
/阉割/阉蛋/,661,299,2.210702341137124,70.2675585284281,0,0,0
/换身、附身、入替、融合/附身/重度区/,660,187,3.5294117647058822,155.25133689839572,0,0,0
/社群及NGO文件/生活与性体验/前列腺高潮/4.5_前高基础知识_page/,654,486,1.345679012345679,28.5,124,0,0
/医学图片与视频/睾丸缺失/,634,361,1.7562326869806095,54.88642659279778,0,0,0
/社群及NGO文件/医院和医疗体系/,601,405,1.4839506172839507,22.07901234567901,0,0,0
/文学作品和艺术创作/自传/从变装到变性_-_他（她）的真实自述_page/,599,433,1.3833718244803694,108.82448036951502,41,0,0
/社群及NGO文件/生活与性体验/前列腺高潮/4.8_超级前列腺高潮，昏天暗地的快感_page/,593,467,1.2698072805139187,36.102783725910065,104,0,0
/其他/來自貼吧/,588,340,1.7294117647058824,39.18529411764706,0,0,0
/未分类中短篇/伴读太监（阉割）_page/,588,294,2,106.40816326530613,31,0,0
/限制级/1699264-[Tom Reynolds]一个人的时候（K记翻译）/,583,431,1.3526682134570767,71.9907192575406,0,0,0
/文学作品和艺术创作/图像/限制级内容/,577,434,1.3294930875576036,11.746543778801843,0,0,0
/医学图片与视频/未分类/set9/,570,195,2.923076923076923,30.097435897435897,0,0,0
/CD手术调教催眠人妖扶她BL/失去男孩子身份的体验_page/,565,404,1.3985148514851484,32.31188118811881,201,0,0
/社群及NGO文件/生活与性体验/前列腺高潮/屁穴高潮方法__2__page/,552,423,1.3049645390070923,28.851063829787233,110,0,0
/epub小说下载（更新）/,551,372,1.4811827956989247,22.309139784946236,0,0,0
/政府及官方组织文件/,549,397,1.3828715365239295,10.896725440806046,0,0,0
/皮物、乳胶/皮物/重度区/,548,179,3.0614525139664805,124.59217877094972,0,0,0
/限制级/TSFのF_森あいり_妹えくすちぇんじ_TSFのFのほん_その2のB_中国翻訳_DL版/,533,386,1.3808290155440415,58.476683937823836,0,0,0
/社群及NGO文件/生活与性体验/前列腺高潮/4.1_前列腺高潮的概念_page/,526,410,1.2829268292682927,45.57560975609756,81,0,0
